ingredient,recipe
green bell pepper,"Green Tomato and Bell Pepper Delight;Cabbage Fat-Burning Soup;Shrimp and Cheesy Grits with Bacon;Summer Zucchini Stew;Old Charleston Style Shrimp and Grits;Baked Denver Omelet;Holiday Chicken Salad;Sesame Broccoli;Classic Macaroni Salad;Mama's Hearty Minestrone;Thai Pineapple Chicken Curry;Thai Noodle Salad;Mexican Egg Bake;Zucchini Soup III;The Best Vegetarian Chili in the World;Zucchini Tomato Soup I;Scrambled Egg Muffins;Aussie Breakfast Egg Mess;Keto Instant Pot Soup (Low Carb);Pasta Salad;Fat Granny's Minestrone Soup;Green Tomato Relish;Breakfast Pies;The Best Meatloaf;Greek Salad I;Best Italian Sausage Soup;Homemade Black Bean Veggie Burgers;Chef John's Stuffed Peppers;Ratatouille;Creamy Corn Chowder;Awesome Pasta Salad;Slow Cooker Zucchini Soup;Sausage, Peppers, Onions, and Potato Bake;Insanely Easy Vegetarian Chili;Grandma's Slow Cooker Vegetarian Chili;Antipasto Pasta Salad;Mexican Bean Salad;Shrimp and Grits Louisiana Style"
gruyere cheese,Chef John's Quiche Lorraine;Shrimp Quiche;Savory French Crepes 
haddock,Kedgeree
ham,"Country House Bed and Breakfast Casserole;Southwestern Cauliflower and Ham Soup;Golden Potato Soup;Chicken Cordon Bleu II;Creamy Ham and Cheese Quiche;Delicious Ham and Potato Soup;Baked Denver Omelet;Easy Quiche;Split Pea Soup;Homemade Deviled Ham Sandwiches;Navy Bean Soup I;The Best Bean and Ham Soup;Make-Ahead Breakfast Bars;Cheesy Ham and Hash Brown Casserole;Three Cheese Breakfast Bake;Slow Cooker Pulled Pork;Asparagus, Potato, and Onion Frittata;Prosciutto Fave Minestrone alla Riso ;Eggs Benedict Breakfast Pizza;Slow Cooker Texas Pulled Pork;Shrimp and Grits Louisiana Style"
honey,Sopapilla Cheesecake Pie;Baked Cider Doughnuts;Honey Roasted Red Potatoes;Baked Dijon Salmon;Peanut Butter Noodles;Homemade Deviled Ham Sandwiches;Peanut Butter Banana Smoothie;Honey Mustard Pork Chops;Best Brownies;Spicy Grilled Broccoli;Blueberry Waffles with Fast Blueberry Sauce;Curried Butternut Squash Soup;Ginger Glazed Mahi Mahi;Herb 'n Honey Cucumber Tomato Salad;Honey Roasted Sweet Potatoes;All-Around Good Smoothie
horseradish,Fried Green Tomatoes with Shrimp Remoulade
jasmine,Thai Pineapple Chicken Curry;Khao Man Gai Thai Chicken and Rice (Healthy Version);Thai Chicken with Basil Stir Fry;Thai Spicy Basil Chicken Fried Rice
kaffir lime,Panang Curry with Chicken
kale,Judy's Hearty Vegetable Minestrone Soup;Winter Green Salad;Stir-Fried Kale and Broccoli Florets;Bean Soup With Kale;Green Squash Soup;Roasted Yam and Kale Salad;Macho Minestrone
kidney bean,Judy's Hearty Vegetable Minestrone Soup;Jamie's Minestrone;Laura's Quick Slow Cooker Turkey Chili;Lena's Minestrone;Slow Cooker Vegetarian Minestrone;The Best Vegetarian Chili in the World;Best Darn Minestrone Soup Around;Butternut Squash and Turkey Chili;Ken's Minestrone Soup;Kathy's Cabbage Soup;Simple Turkey Chili;Corrigan's Minestrone;Insanely Easy Vegetarian Chili;Sharon's Awesome Chicago Chili;Grandma's Slow Cooker Vegetarian Chili;Mexican Bean Salad
kiwi,Annie's Fruit Salsa and Cinnamon Chips
lamb,Lamb Chops with Balsamic Reduction
lard,Winter Green Salad;Kickin' Collard Greens
leaf,Russian Mushroom and Potato Soup;Chicken Makhani (Indian Butter Chicken);Fabulous Roasted Cauliflower Soup;Kedgeree;Turkey Carcass Soup;Navy Bean Soup I;French Onion Soup Gratinee;Beef Barley Vegetable Soup;Picante Chicken Chili;Vegetable Beef Minestrone;Fat Granny's Minestrone Soup;Slow Cooker Beef Stew I;Cabbage and Smoked Sausage Soup;Lentil Soup
leek,"Russian Mushroom and Potato Soup;Winter Leek and Potato Soup;Low Carb Cauliflower Leek Soup;Curried Apple and Leek Soup;Cream of Cauliflower and Stilton Soup;Roasted Cauliflower, Garlic, and Leek Soup;Classic Minestrone;Chef John's Quiche Lorraine;Leek Potato Mushroom Cheddar Soup;Green Squash Soup;Butternut and Apple Harvest Soup;Roasted Cauliflower and Leek Soup;Lactose Free Corn Chowder;Cream of Cauliflower Soup I;Split Pea Soup with Rosemary;Hearty Corn and Pumpkin Soup"
lemon,Lemon-Buttermilk Pound Cake with Aunt Evelyn's Lemon Glaze;Baked Dijon Salmon;Thai Chicken Curry in Coconut Milk;Pan Seared Salmon I;Pad Thai;Thai Red Curry Paste;Herbed Grilled Artichokes;The Best Marinade Around;Lemon-Parsley Green Beans;Broccoli With Lemon Almond Butter;Roasted Apples and Brussels Sprouts;Perfect Ten Baked Cod;Lemon-Garlic Shrimp and Grits;Greek Chicken Pasta;Grandma's Lemon Meringue Pie;Cream of Cauliflower Soup With Bacon Gremolata;Lemon Chicken Piccata;The Best Thai Coconut Soup;Savory Bacon and Crab Bread Pudding Eggs Benedict;Sicilian Sunset;Mediterranean Zucchini 'Pasta' Salad;Perfect Summer Fruit Salad;Smoked Salmon Dill Eggs Benedict
lemon juice,"Eggs Benedict with Salmon;Chicken Tikka Masala;Hungarian Mushroom Soup;Eggy Veggie Bake;Broccoli with Lemon Butter Sauce;Cream of Fresh Asparagus Soup II;Lemon-Buttermilk Pound Cake with Aunt Evelyn's Lemon Glaze;Chicken Makhani (Indian Butter Chicken);Roasted Garlic Lemon Broccoli;Old Charleston Style Shrimp and Grits;Thai Chicken Curry in Coconut Milk;Chicken Souvlaki with Tzatziki Sauce;Jacob's Roasted Broccoli;Bodacious Broccoli Salad;Garlic Roasted Broccoli with Parmesan Cheese;Buttermilk Strawberry Shortcake;Basic Chicken Salad;Broiled Tilapia Parmesan;Creamy Summer Squash Soup;Apricot Glazed Carrots;Afghan Tomato Soup (Aush Goshti);Apple Turnovers;Momma's Shrimp and Cheese Grits;The Best Bean and Ham Soup;Drop Dead Delicious Tuna Salad;Bacon and Egg Breakfast Salad with Avocado Dressing;Quick and Easy Eggs Benedict;Garlic Red Potatoes;Simple Garlic Shrimp;Broccoli With Lemon Almond Butter;Broccoli Rabe with Roasted Peppers;Easy Lemon and Garlic Broccoli;Pumpkin Waffles with Apple Cider Syrup;Watermelon Basil Salad;Perfect Ten Baked Cod;Saltfish Buljol;Zucchini Gazpacho;Sean's Falafel and Cucumber Sauce;Lemon-Garlic Shrimp and Grits;Greek Chicken Pasta;Shrimp Scampi with Pasta;Baked Milk Fish;Thai Chicken Balls;Fried Green Tomatoes with Shrimp Remoulade;Zucchini Gazpacho with Basil Cream;Baked Shrimp Scampi;Greek Salad I;Zucchini Tomato Soup II;Oven-Roasted Asparagus;Lemon Chicken Piccata;Savory Bacon and Crab Bread Pudding Eggs Benedict;Baked Broccoli;RITZ ""Everything"" Bites with Lox and Schmear;Chef John's Shrimp and Grits ;Caesar Salad Supreme;Baked Salmon II;Easy Garlic-Lemon Scallops;Perfect Summer Fruit Salad;Vegetarian Chickpea Sandwich Filling;Jamie's Sweet and Easy Corn on the Cob;Mexican Bean Salad;Winter Fruit Salad with Lemon Poppyseed Dressing;Fresh Southern Peach Cobbler;Israeli Tomato and Cucumber Salad"
lentil,"Lentil Salad with a Persian Twist;Yellow Dhal - Sweet Potato Soup;Vegan Red Lentil Soup;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Red Lentil Curry"
lettuce,Winter Green Salad;Grilled Hearts of Romaine;Taco Salad I;Saltfish Buljol;Vietnamese Fresh Spring Rolls;Green Squash Soup;Greek Salad I;Caesar Salad Supreme;Winter Fruit Salad with Lemon Poppyseed Dressing;Roquefort Pear Salad
lime,Oriental Cold Noodle Salad;Caldo de Res (Mexican Beef Soup);Stir-Fried Kale and Broccoli Florets;Authentic Pad Thai;Addictive Asian Beef Slaw (Crack Slaw);Herb Watermelon Feta Salad;Sukhothai Pad Thai;Zesty Quinoa Salad;Slow Cooker Thai Peanut Pork;Spicy Chipotle Sweet Potato Soup;Yam Taeng (Spicy Cucumber Salad);The Real Mojito
lime juice,Pad Kee Mow (Drunkard's Noodles);Baja-Style Fish Tacos;Fresh Tomato Salsa;Lentil Salad with a Persian Twist;Black Bean Huevos Rancheros;The Best Thai Peanut Sauce;Black Bean and Couscous Salad;Khao Man Gai Thai Chicken and Rice (Healthy Version);Spicy Garlic Lime Chicken;One Skillet Mexican Quinoa;Spicy Grilled Broccoli;Shrimp and Veggie Stew;Vietnamese Rice Noodle Salad;Chicken Satay;Tom Ka Gai (Coconut Chicken Soup);Thai Carrot Salad;Angela's Awesome Enchiladas;Vietnamese Fresh Spring Rolls;Black Bean and Corn Salad II;Sheet Pan Chicken Fajitas;Slow Cook Thai Chicken;The Best Thai Coconut Soup;Chicken Massaman Curry;Roasted Carrot and Cauliflower Curried Soup;Mexican Bean Salad;Shanghai Noodle Salad
macaroni,Classic Macaroni Salad;Mama's Hearty Minestrone;Slow Cooker Vegetarian Minestrone;Classic Minestrone;Zucchini Tomato Soup I;Best Darn Minestrone Soup Around;Easy Mac and Cheese Muffins;Minestrone Soup I;Mama Kathy's Minestrone;Fat Granny's Minestrone Soup;Corrigan's Minestrone;Baked Homemade Macaroni and Cheese
mango,Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang);Refined Sugar Free-Mango Sticky Rice;Mango-Bacon-Butternut Squash Hash;Mango with Sticky Coconut Rice (Kao Niaw)
maple syrup,Overnight Blueberry French Toast;Maple Bacon Monkey Bread
marjoram,"Split Pea Soup;Roasted Cauliflower, Garlic, and Leek Soup;Oven Roasted Potatoes;Butternut Squash Soup;Salmon and Swiss Chard Quiche"
meat,True Maryland Crab Cakes;Crabmeat Quiche;Carol's Baked Ziti Casserole;Mini Spinach and Crab Quiche;Crab and Swiss Quiche
milk,"Bacon Cheese Frittata;Easy Meatloaf;Bacon Cheese Muffins;Quick Creamy Zucchini Soup;Country House Bed and Breakfast Casserole;Yummy Sweet Potato Casserole;Baked Cider Doughnuts;Hungarian Mushroom Soup;Golden Potato Soup;Cream of Fresh Asparagus Soup II;Chorizo Breakfast Tacos with Potato Hash and Eggs;Shrimp and Cheesy Grits with Bacon;Country Sunday Breakfast Casserole;Chef John's Fried Green Tomatoes ;Creamy Au Gratin Potatoes;Scones;Fluffy French Toast;Easy Pancakes;Waffles I;Cream of Cauliflower Soup II;Apple-Raisin French Toast Casserole;Delicious Ham and Potato Soup;Baked Denver Omelet;Easy Broccoli Quiche;Vanilla-Almond Spiced French Toast;The Best Ricotta Pancakes;Christmas Breakfast Sausage Casserole;Super Easy Egg Casserole;Kentucky Style Fried Green Tomatoes;Smoked Salmon Quiche;Roasted Cauliflower Soup;Overnight Blueberry French Toast;Breakfast Biscuits;Quick and Almost-Professional Buttercream Icing;Apple Puff Pancake;Irish Chicken and Dumplings;Kedgeree;Easy Quiche;Broccoli Souffle;Slow Cooker Chicken with Mushroom Wine Sauce;Bacon Cheddar Chive Muffins;Sour Cream Coffee Cake I;Cream of Cauliflower and Stilton Soup;Tuna Salad Muffins;Bacon Ranch Pasta Salad;Southern Fried Green Tomatoes;Zucchini Soup II;Classic Cinnamon Rolls;Chef John's Banana Bread;Croissant and Salmon Breakfast Casserole;Jersey Fresh Tomato Soup;Peanut Butter Banana Smoothie;Quick Quiche;Ninety Minute Cinnamon Rolls;Basic Crepes;Karen's Fried Green Tomatoes;Mexican Egg Bake;Apple Turnovers;Best Fried Green Tomatoes;Good Old Fashioned Pancakes;French Toast I;Oat Crusted Fish;Old Fashioned Onion Rings;Quick Pumpkin Oatmeal;Herb, Sausage, and Cheese Dutch Baby;Spinach and Potato Frittata;Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup);Spinach Quiche;Simple Cauliflower Soup;Hash Brown and Pork Chop Casserole;Easy Mac and Cheese Muffins;Apple Cider Glazed Doughnuts;To Die For Blueberry Muffins;Gluten Free Fried Green Tomatoes;Easy Pumpkin Pancakes;Pumpkin Waffles with Apple Cider Syrup;Chef John's Quiche Lorraine;Cauliflower Potato Soup;Blueberry Waffles with Fast Blueberry Sauce;Sarah's Fried Green Tomatoes;Copycat Panera Broccoli Cheddar Soup;Three Cheese Breakfast Bake;Hash Brown and Egg Casserole;Red Curry Coconut Squash Soup;Buttermilk Pancakes II;Crab Brunch Casserole;Whole Wheat, Oatmeal, and Banana Pancakes;Buttermilk Doughnuts;Strawberry Oatmeal Breakfast Smoothie;Baked Potato Soup I;Bacon, Potato, and Egg Taco Ole;Smoked Salmon Scramble;Baked Milk Fish;Pesto Chicken Penne Casserole;Cauliflower-Cheese Soup;Brown Sugar Meatloaf;Breakfast Pies;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Leek Potato Mushroom Cheddar Soup;Oven Scrambled Eggs;Banana Pancakes I;The Best Meatloaf;Smoked Salmon Frittata;Cauliflower and White Cheddar Cheese Soup;Broccoli Cheese Bake;Mini Meatloaves;Asparagus, Potato, and Onion Frittata;Savory French Crepes ;Light and Fluffy Spinach Quiche;Fluffy Pancakes;Baked French Toast;Cheesy Sausage and Vegetable Soup;Mini Spinach and Crab Quiche;Cinnamon Rolls III;Cream Corn Like No Other;Crab and Swiss Quiche;Baked Oatmeal Breakfast Bars;Banana Cinnamon Roll Casserole;Eggs Benedict Breakfast Pizza;Baked Potato Soup V;Ooey-Gooey Cinnamon Buns;Baked Homemade Macaroni and Cheese;Zucchini Soup with Herbs;Salmon and Swiss Chard Quiche;Whole Wheat Blueberry Muffins;Hearty Corn and Pumpkin Soup;Classic Waffles;Broccoli Cheese Soup;Nichole's Chicken Cauliflower Soup;Easy Sausage Gravy and Biscuits;Ultimate Twice Baked Potatoes;Charleston Breakfast Casserole;Garlic Shrimp and Cheesy Grits;Chicken Pot Pie IX;All-Around Good Smoothie;Campbell's Tuna Noodle Casserole"
mint,Fire and Ice Smoked Salmon;Herb Watermelon Feta Salad;Vietnamese Rice Noodle Salad;Vietnamese Fresh Spring Rolls;The Real Mojito;Israeli Tomato and Cucumber Salad
mozzarella cheese,"Asparagus and Mozzarella Stuffed Chicken Breasts;Buffalo Chicken Skillet;Easy Broccoli Quiche;Smoked Salmon Quiche;Egg and Sausage Casserole;Sausage-Stuffed Eggplant;Croissant and Salmon Breakfast Casserole;French Onion Soup Gratinee;World's Best Lasagna;Insalata Caprese II;Easy Mac and Cheese Muffins;Zucchini Patties;Tomato Basil Penne Pasta;Carol's Baked Ziti Casserole;Asparagus, Potato, and Onion Frittata;Baked Ziti I"
mushroom,"Russian Mushroom and Potato Soup;Hungarian Mushroom Soup;Eggy Veggie Bake;Chicken and Artichoke Minestrone;Zucchini and Pork Soup;Awesome Slow Cooker Pot Roast Plus Extras;Slow Cooker Beef Pot Roast;Spicy Basil Chicken;Bacon, Egg, and Cheese Strata;Slow Cooker Chicken with Mushroom Wine Sauce;Bacon Cheddar Chive Muffins;Zucchini Soup II;Clark's Quiche;Broccoli Rice Casserole;Mexican Egg Bake;Thai Chicken with Basil Stir Fry;Spinach Quiche;Aussie Breakfast Egg Mess;Spicy Edam Shrimp Quiche;Leek Potato Mushroom Cheddar Soup;Ratatouille;Savory French Crepes ;The Best Thai Coconut Soup;Rach's Broccoli Casserole;Insanely Easy Vegetarian Chili;Jill's Hash Brown Casserole;Campbell's Tuna Noodle Casserole"
mustard,"Eggs Benedict with Salmon;Easy Meatloaf;Country House Bed and Breakfast Casserole;Delicious Egg Salad for Sandwiches;Winter Green Salad;Honey Roasted Red Potatoes;Baked Dijon Salmon;Creamy Ham and Cheese Quiche;Christmas Breakfast Sausage Casserole;True Maryland Crab Cakes;Classic Macaroni Salad;Bacon, Egg, and Cheese Strata;Homemade Deviled Ham Sandwiches;Afghan Tomato Soup (Aush Goshti);Honey Mustard Pork Chops;Old Fashioned Potato Salad;Chef John's Steak Diane;The Best Bean and Ham Soup;New Wife Tuna Salad;Keto Instant Pot Soup (Low Carb);Three Cheese Breakfast Bake;Perfect Breakfast;Turkey Veggie Meatloaf Cups;Green Tomato Relish;Indian Fish Curry;Leek Potato Mushroom Cheddar Soup;Fried Green Tomatoes with Shrimp Remoulade;Mini Meatloaves;Seafood Omelets with Creamy Cheese Sauce;Caesar Salad Supreme;Winter Fruit Salad with Lemon Poppyseed Dressing;Roquefort Pear Salad;Charleston Breakfast Casserole;Slow Cooker Texas Pulled Pork"
nutmeg,Make-Ahead Sour Cream Coffee Cake;Downeast Maine Pumpkin Bread;Green Tomato Pie III;Baked Cider Doughnuts;Smooth Cauliflower Soup;Cream of Cauliflower Soup II;Vanilla-Almond Spiced French Toast;Chef John's Sweet Potato Muffins;Roasted Cauliflower Soup;Apricot Glazed Carrots;Pumpkin Bread IV;French Toast I;Quick Pumpkin Oatmeal;Vegan Red Lentil Soup;Ashley's Apple Cider Doughnuts;Easy Pumpkin Pancakes;Pumpkin French Toast Bake;Buttermilk Doughnuts;Cauliflower and White Cheddar Cheese Soup;Zucchini Tomato Soup II;Butternut and Apple Harvest Soup;Seafood Omelets with Creamy Cheese Sauce;Salmon and Swiss Chard Quiche;Fresh Southern Peach Cobbler;Applesauce Pumpkin Spice Bread 
oat,"Soft and Chewy Chocolate-Banana Oat Bars;Apple Crisp II;Oat Crusted Fish;Quick Pumpkin Oatmeal;Oatmeal Pancakes II;Whole Wheat, Oatmeal, and Banana Pancakes;Strawberry Oatmeal Breakfast Smoothie;Mini Meatloaves;Baked Oatmeal Breakfast Bars"
okra,Shrimp and Veggie Stew
olive,Easy Mexican Casserole;Tuna Salad Muffins;Bacon Ranch Pasta Salad;Herbed Grilled Artichokes;Eggplant Caponata (Sicilian Version);Angela's Awesome Enchiladas;Smoked Salmon Frittata;Greek Salad I;Awesome Pasta Salad;Mediterranean Zucchini 'Pasta' Salad;Antipasto Pasta Salad;Mediterranean Greek Salad
olive oil,"Green Tomato and Bell Pepper Delight;Roasted Beets and Sauteed Beet Greens;Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Low Carb Cauliflower Leek Soup;Rich and Simple French Onion Soup;Creamy Asparagus and Cauliflower Soup;Southwestern Cauliflower and Ham Soup;Thai Red Chicken Curry;Eggy Veggie Bake;Judy's Hearty Vegetable Minestrone Soup;Quick Creamed Curried Corn ;Brilliant Sauteed Broccoli;Jamie's Minestrone;Summer Zucchini Stew;Cheesy Grilled Broccoli;Roasted Garlic Lemon Broccoli;Strawberry Spinach Salad I;Winter Green Salad;Stir-Fried Kale and Broccoli Florets;Lentil Salad with a Persian Twist;Chicken and Artichoke Minestrone;Chicken Souvlaki with Tzatziki Sauce;Roasted Cauliflower Soup;Easy Minestrone;Classic Minestrone Soup;Kickin' Collard Greens;Provincial Tomatoes;Fabulous Roasted Cauliflower Soup;Pan Seared Salmon I;Jacob's Roasted Broccoli;Simple Baked Chicken Breasts;Green Tomato Casserole;Garlic Roasted Broccoli with Parmesan Cheese;Sausage-Stuffed Eggplant;Pork Chops with Raspberry Sauce;Chakchouka (Shakshouka);Shrimp and Grits With Kielbasa;Zucchini and Potato Bake;Black Bean and Couscous Salad;Mexican Zucchini Cheese Soup;Southern Fried Green Tomatoes;Herb Watermelon Feta Salad;Roasted Cauliflower, Garlic, and Leek Soup;Chicken Parmesan;Clark's Quiche;Herbed Grilled Artichokes;Grilled Hearts of Romaine;The Best Marinade Around;Green Tomato Pasta Toss;Eggplant Caponata (Sicilian Version);Thai Chicken with Basil Stir Fry;Roasted Vegetables;Nan's Potato and Egg Frittata;Spicy Garlic Lime Chicken;Quick Brussels and Bacon;One Skillet Mexican Quinoa;Lamb Chops with Balsamic Reduction;Lemon-Parsley Green Beans;Andrea's Pasta Fagioli;Oven Roasted Potatoes;Insalata Caprese II;Spinach and Potato Frittata;Bacon and Egg Breakfast Salad with Avocado Dressing;The Best Vegetarian Chili in the World;Simple Garlic Shrimp;Awesome Broccoli Marinara;Roasted Apples and Brussels Sprouts;Easy Mac and Cheese Muffins;Fried Broccoli;Broccoli Rabe with Roasted Peppers;Bird's Nest Breakfast Cups;Garlic Mashed Cauliflower;Easy Pineapple Chicken;Simple Roasted Butternut Squash;Sarah's Fried Green Tomatoes;Sean's Falafel and Cucumber Sauce;Fresh Tomato Zucchini Soup;Keto Instant Pot Soup (Low Carb);Zesty Quinoa Salad;Summer Corn Salad;Ginger Glazed Mahi Mahi;Greek Chicken Pasta;Bean Soup With Kale;Curried Zucchini Soup;Butternut Squash and Turkey Chili;Ken's Minestrone Soup;Fat Granny's Minestrone Soup;Simple Turkey Chili;Shrimp Scampi with Pasta;Tomato Basil Penne Pasta;Pesto Chicken Penne Casserole;Quinoa Black Bean Burgers;Black Bean and Corn Salad II;Healing Cabbage Soup;Absolutely The Best Shrimp Scampi;Pan Fried Brussels Sprouts;Leek Potato Mushroom Cheddar Soup;Fried Green Tomatoes with Shrimp Remoulade;Maria's Broccoli Rabe;Green Squash Soup;Smoked Salmon Frittata;Zucchini Gazpacho with Basil Cream;Honey Roasted Sweet Potatoes;Carrot and Ginger Soup;Greek Salad I;Roasted Beets 'n' Sweets;Corrigan's Minestrone;Asparagus, Potato, and Onion Frittata;Chef John's Stuffed Peppers;Cream of Cauliflower Soup With Bacon Gremolata;Oven-Roasted Asparagus;Ratatouille;Parmalet (Crisp Parmesan Omelet);Prosciutto Fave Minestrone alla Riso ;Easy Roasted Broccoli;Baked Broccoli;Spicy Chipotle Sweet Potato Soup;Roasted Sage Broccoli;Creamy Zucchini Soup;Mini Spinach and Crab Quiche;Roasted Garlic Cauliflower;Sausage, Peppers, Onions, and Potato Bake;Mediterranean Zucchini 'Pasta' Salad;Roasted Yam and Kale Salad;Caesar Salad Supreme;Garlic Green Beans;Baked Salmon II;Roasted Carrot and Cauliflower Curried Soup;Chef John's Minestrone Soup;Antipasto Pasta Salad;Macho Minestrone;Hearty Corn and Pumpkin Soup;Disney's Ratatouille;Vegan Black Bean Soup;Mexican Bean Salad;Nichole's Chicken Cauliflower Soup;Roquefort Pear Salad;Garlic Shrimp and Cheesy Grits;Shrimp and Grits Louisiana Style;Baked Sweet Potato Sticks;Best White Chicken Chili;Pan-Fried Asparagus;Lentil Soup;Northern Fried Green Tomatoes;Israeli Tomato and Cucumber Salad"
